split_type,fold_id,seed,dbp_id,model,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_classes,prediction_variance,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_3,29.0,DBP48,M3,-0.134191125881914,0.5196596520462441,0.49657275916926424,0.45887294364718234,0.012195121951219513,8192.0,2.446805477142334,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,43.0,DBP48,M0,0.02473932609370166,0.6252499387688346,0.6159319693751236,0.5067753387669384,0.024390243902439025,8192.0,1.4460809230804443,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,43.0,DBP48,M1,0.007467023745827017,0.5496686924818209,0.5564702471819427,0.503975198759938,0.012195121951219513,8192.0,1.3431875705718994,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,43.0,DBP48,M1c,0.09399256646138478,0.6918751433409411,0.6559150974905993,0.5314765738286914,0.012195121951219513,8192.0,0.7713507413864136,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,43.0,DBP48,M2,0.009657653284797613,0.5779403812896434,0.5611473978612679,0.5010750537526877,0.024390243902439025,8192.0,1.1105173826217651,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_3,43.0,DBP48,M3,-0.058537683207735856,0.6102489360380546,0.6152923501756571,0.47792389619480974,0.036585365853658534,8192.0,1.848056674003601,3072.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_4,17.0,DBP6,M0,0.3417170605250601,0.8936341594643356,0.8008763363940306,0.6134,0.2804878048780488,8192.0,0.9503120183944702,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_4,17.0,DBP9,M0,0.17503128773238805,0.6760897903134928,0.6316052114771508,0.5596,0.012195121951219513,8192.0,0.9503120183944702,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_4,17.0,DBP6,M1,0.14564908903590634,0.7118562292493072,0.6826399589117886,0.5443,0.08536585365853659,8192.0,1.5002543926239014,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_4,17.0,DBP9,M1,0.2265972592530738,0.7034955542755634,0.685573619576712,0.5759,0.0,8192.0,1.4767303466796875,2560.0,True,diagnostic_replay_all_designed_exposed
