tf_id	binding_site_id	perturbation_type	split_seed	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy
TBP	TBP_site_2	mismatch	1308	0.9506701854295436	0.8787878787878788	0.9135564969789568	0.8515151515151516
p53	p53	canonical_watson_crick	1308	0.9437689969604862	0.8617647058823529	0.8048198002605298	0.8541666666666666
p53	p53	mismatch	1308	0.9319409587277371	0.9470588235294116	0.8940706128095923	0.8475378787878788
Cbf1	Cbf1	canonical_watson_crick	1309	0.9155727155727155	0.9090909090909092	0.876962676962677	0.75
Cbf1	Cbf1	mismatch	1309	0.9724379069206655	0.9790209790209792	0.9510288562012699	0.8371212121212122
Egr1	Egr1	canonical_watson_crick	1309	0.9804375804375804	0.9860139860139862	0.9153153153153153	0.8611111111111112
Egr1	Egr1	mismatch	1309	0.9821919459850494	0.9930069930069931	0.9167791978136806	0.8207070707070707
Ets1	Ets1_site_1	canonical_watson_crick	1309	0.9782754010695187	0.990909090909091	0.9522058823529411	0.7878787878787878
Ets1	Ets1_site_1	mismatch	1309	0.990036394974167	0.990909090909091	0.9746532447599895	0.8951724137931034
Ets1	Ets1_site_3	canonical_watson_crick	1309	0.8303653569694314	-0.43636363636363645	0.5789253801444313	0.65625
Ets1	Ets1_site_3	mismatch	1309	0.6131898792982817	-0.02727272727272728	0.5686356870994731	0.6288515406162465
GR	GR	canonical_watson_crick	1309	0.9635046113306983	0.95	0.6488801054018445	0.6888888888888889
GR	GR	mismatch	1309	0.9433629347424187	0.9892857142857142	0.8620075012642998	0.7906976744186046
Max	Max_site_1	canonical_watson_crick	1309	0.9763191763191764	0.9160839160839163	0.846846846846847	0.8611111111111112
Max	Max_site_1	mismatch	1309	0.9705720707464817	0.9580419580419581	0.9008279077244593	0.8320707070707071
Max	Max_site_2	canonical_watson_crick	1309	0.9385417356457656	0.7552447552447553	0.834749034749035	0.8333333333333334
Max	Max_site_2	mismatch	1309	0.8314747180465292	0.9510489510489512	0.5404293670420771	0.6460176991150443
TBP	TBP_site_1	canonical_watson_crick	1309	0.9488320355951056	0.9878787878787878	0.9341490545050056	0.8333333333333334
TBP	TBP_site_1	mismatch	1309	0.9454267657476211	0.9030303030303028	0.8841864018334605	0.8151515151515152
TBP	TBP_site_2	canonical_watson_crick	1309	0.9790878754171303	0.9515151515151514	0.9385984427141268	0.8666666666666667
TBP	TBP_site_2	mismatch	1309	0.9504201680672268	0.9272727272727272	0.9203694701020902	0.8409090909090909
p53	p53	canonical_watson_crick	1309	0.9072651779605192	0.8441176470588234	0.8427051671732523	0.8541666666666666
p53	p53	mismatch	1309	0.9317272719181552	0.95	0.8987453962753926	0.8385416666666666
Cbf1	Cbf1	canonical_watson_crick	1310	0.944916344916345	0.8741258741258742	0.9086229086229086	0.8333333333333334
Cbf1	Cbf1	mismatch	1310	0.9588497709187365	0.965034965034965	0.932621975725424	0.8055555555555556
Egr1	Egr1	canonical_watson_crick	1310	0.9796653796653797	0.9790209790209792	0.9477477477477478	0.9166666666666666
Egr1	Egr1	mismatch	1310	0.9800337593441042	0.9930069930069931	0.8934289848082951	0.8005050505050505
Ets1	Ets1_site_1	canonical_watson_crick	1310	0.9857107078787113	1.0	0.964485672290275	0.803030303030303
Ets1	Ets1_site_1	mismatch	1310	0.9895016958030023	1.0	0.9701047468758963	0.8815426997245179
Ets1	Ets1_site_3	canonical_watson_crick	1310	0.9029588766298896	0.17272727272727276	0.8599598930481284	0.8787878787878788
Ets1	Ets1_site_3	mismatch	1310	0.5049843127691113	0.5818181818181819	0.4855997516270454	0.6004213483146067
GR	GR	canonical_watson_crick	1310	0.9650856389986824	0.9678571428571429	0.6537549407114623	0.7555555555555555
GR	GR	mismatch	1310	0.9453295883617807	0.9928571428571428	0.8623167381709312	0.7898989898989899
Max	Max_site_1	canonical_watson_crick	1310	0.9801801801801803	0.9020979020979022	0.884942084942085	0.8611111111111112
Max	Max_site_1	mismatch	1310	0.9613907256161166	0.9720279720279721	0.8557993730407523	0.803030303030303
Max	Max_site_2	canonical_watson_crick	1310	0.9505791505791507	0.8671328671328673	0.6463320463320464	0.7777777777777778
Max	Max_site_2	mismatch	1310	0.8576604456059188	0.9090909090909092	0.6261902441429132	0.6875
TBP	TBP_site_1	canonical_watson_crick	1310	0.9519466073414905	0.9515151515151514	0.8847608453837598	0.8666666666666667
TBP	TBP_site_1	mismatch	1310	0.959872213348149	0.9999999999999999	0.8807556080283353	0.8424242424242424
TBP	TBP_site_2	canonical_watson_crick	1310	0.9341490545050056	0.9393939393939393	0.8829810901001112	0.8333333333333334
TBP	TBP_site_2	mismatch	1310	0.9540731995277448	0.9515151515151514	0.9040350024307241	0.8378787878787879
p53	p53	canonical_watson_crick	1310	0.9195570767495395	0.8382352941176471	0.7740990013026486	0.8125
p53	p53	mismatch	1310	0.9140342994731732	0.8323529411764706	0.8774312996771831	0.8399621212121212
Cbf1	Cbf1	canonical_watson_crick	1311	0.9325611325611326	0.9510489510489512	0.8692406692406692	0.7222222222222222
Cbf1	Cbf1	mismatch	1311	0.958918093400852	0.9230769230769231	0.9330278916485812	0.8194444444444444
Egr1	Egr1	canonical_watson_crick	1311	0.9925353925353926	0.9790209790209792	0.9392535392535393	0.9166666666666666
Egr1	Egr1	mismatch	1311	0.9837111164697372	0.9860139860139862	0.9110481472550438	0.8207070707070707
Ets1	Ets1_site_1	canonical_watson_crick	1311	0.9816996775312902	1.0	0.9746803744233036	0.8939393939393939
Ets1	Ets1_site_1	mismatch	1311	0.9905596015656765	1.0	0.9695176674421992	0.8914246196403873
Ets1	Ets1_site_3	canonical_watson_crick	1311	0.8167683719917471	0.5272727272727273	0.5688502673796791	0.696969696969697
Ets1	Ets1_site_3	mismatch	1311	0.587784390049977	0.8090909090909091	0.5458818342078442	0.6342329545454546
GR	GR	canonical_watson_crick	1311	0.944927536231884	0.8857142857142855	0.49657444005270085	0.6888888888888889
GR	GR	mismatch	1311	0.9358369784238294	0.9785714285714284	0.8508040371616407	0.805050505050505
Max	Max_site_1	canonical_watson_crick	1311	0.9709137709137711	0.8671328671328673	0.846846846846847	0.7777777777777778
Max	Max_site_1	mismatch	1311	0.9606773578066881	0.9720279720279721	0.8530303030303029	0.8042929292929293
Max	Max_site_2	canonical_watson_crick	1311	0.9510939510939511	0.8671328671328673	0.7585585585585587	0.7777777777777778
Max	Max_site_2	mismatch	1311	0.8524564468861778	0.9370629370629372	0.6062816493850977	0.6641414141414141
TBP	TBP_site_1	canonical_watson_crick	1311	0.9555061179087875	0.9636363636363635	0.9288097886540599	0.8333333333333334
TBP	TBP_site_1	mismatch	1311	0.9674195559073473	0.6242424242424242	0.9240657755166638	0.8603945371775418
TBP	TBP_site_2	canonical_watson_crick	1311	0.9345939933259176	0.9757575757575757	0.8723025583982202	0.7666666666666667
TBP	TBP_site_2	mismatch	1311	0.9581845961525105	0.9757575757575757	0.9128550593791235	0.8393939393939394
